
# Curve 0 of 1, 2000 points
# Curve title: "'gr_OO_exp_skinner2013_new.dat' u 4:($5*0.5*(tanh(30.0*($4-2.45))+1))"
# x y type
 8.92  1.00411  o
 8.93  1.00415  o
 8.94  1.00418  o
 8.95  1.0042  o
 8.96  1.00421  o
 8.97  1.00422  o
 8.98  1.00422  o
 8.99  1.00421  o
 9  1.00419  o
 9.01  1.00418  o
 9.02  1.00415  o
 9.03  1.00412  o
 9.04  1.00408  o
 9.05  1.00404  o
 9.06  1.004  o
 9.07  1.00395  o
 9.08  1.00389  o
 9.09  1.00384  o
 9.1  1.00377  o
 9.11  1.00371  o
 9.12  1.00364  o
 9.13  1.00356  o
 9.14  1.00348  o
 9.15  1.00339  o
 9.16  1.0033  o
 9.17  1.00321  o
 9.18  1.00311  o
 9.19  1.003  o
 9.2  1.0029  o
 9.21  1.00279  o
 9.22  1.00267  o
 9.23  1.00255  o
 9.24  1.00243  o
 9.25  1.00231  o
 9.26  1.00218  o
 9.27  1.00206  o
 9.28  1.00193  o
 9.29  1.00181  o
 9.3  1.00168  o
 9.31  1.00156  o
 9.32  1.00144  o
 9.33  1.00132  o
 9.34  1.00121  o
 9.35  1.00109  o
 9.36  1.00099  o
 9.37  1.00088  o
 9.38  1.00078  o
 9.39  1.00068  o
 9.4  1.00059  o
 9.41  1.0005  o
 9.42  1.00041  o
 9.43  1.00032  o
 9.44  1.00024  o
 9.45  1.00015  o
 9.46  1.00007  o
 9.47  0.99999  o
 9.48  0.999907  o
 9.49  0.999824  o
 9.5  0.99974  o
 9.51  0.999654  o
 9.52  0.999567  o
 9.53  0.999478  o
 9.54  0.999387  o
 9.55  0.999295  o
 9.56  0.999201  o
 9.57  0.999106  o
 9.58  0.99901  o
 9.59  0.998914  o
 9.6  0.998819  o
 9.61  0.998724  o
 9.62  0.998631  o
 9.63  0.998541  o
 9.64  0.998453  o
 9.65  0.99837  o
 9.66  0.998291  o
 9.67  0.998217  o
 9.68  0.99815  o
 9.69  0.998089  o
 9.7  0.998034  o
 9.71  0.997987  o
 9.72  0.997948  o
 9.73  0.997917  o
 9.74  0.997893  o
 9.75  0.997878  o
 9.76  0.99787  o
 9.77  0.99787  o
 9.78  0.997878  o
 9.79  0.997893  o
 9.8  0.997915  o
 9.81  0.997944  o
 9.82  0.997978  o
 9.83  0.998018  o
 9.84  0.998063  o
 9.85  0.998113  o
 9.86  0.998167  o
 9.87  0.998225  o
 9.88  0.998285  o
 9.89  0.998349  o
 9.9  0.998415  o
 9.91  0.998482  o
 9.92  0.998551  o
 9.93  0.998621  o
 9.94  0.998692  o
 9.95  0.998764  o
 9.96  0.998835  o
 9.97  0.998907  o
 9.98  0.998978  o
 9.99  0.999049  o
 10  0.999119  o
 10.01  0.999188  o
 10.02  0.999257  o
 10.03  0.999325  o
 10.04  0.999392  o
 10.05  0.999458  o
 10.06  0.999523  o
 10.07  0.999588  o
 10.08  0.999652  o
 10.09  0.999716  o
 10.1  0.999781  o
 10.11  0.999845  o
 10.12  0.999911  o
 10.13  0.999978  o
 10.14  1.00005  o
 10.15  1.00012  o
 10.16  1.00019  o
 10.17  1.00026  o
 10.18  1.00034  o
 10.19  1.00042  o
 10.2  1.00051  o
 10.21  1.0006  o
 10.22  1.0007  o
 10.23  1.0008  o
 10.24  1.0009  o
 10.25  1.00101  o
 10.26  1.00112  o
 10.27  1.00124  o
 10.28  1.00136  o
 10.29  1.00149  o
 10.3  1.00162  o
 10.31  1.00175  o
 10.32  1.00188  o
 10.33  1.00202  o
 10.34  1.00215  o
 10.35  1.00228  o
 10.36  1.00242  o
 10.37  1.00255  o
 10.38  1.00267  o
 10.39  1.0028  o
 10.4  1.00292  o
 10.41  1.00303  o
 10.42  1.00314  o
 10.43  1.00324  o
 10.44  1.00334  o
 10.45  1.00343  o
 10.46  1.00351  o
 10.47  1.00358  o
 10.48  1.00365  o
 10.49  1.00371  o
 10.5  1.00377  o
 10.51  1.00382  o
 10.52  1.00386  o
 10.53  1.00389  o
 10.54  1.00393  o
 10.55  1.00395  o
 10.56  1.00398  o
 10.57  1.00399  o
 10.58  1.00401  o
 10.59  1.00402  o
 10.6  1.00403  o
 10.61  1.00404  o
 10.62  1.00405  o
 10.63  1.00405  o
 10.64  1.00406  o
 10.65  1.00406  o
 10.66  1.00407  o
 10.67  1.00407  o
 10.68  1.00408  o
 10.69  1.00408  o
 10.7  1.00409  o
 10.71  1.00409  o
 10.72  1.0041  o
 10.73  1.0041  o
 10.74  1.00411  o
 10.75  1.00412  o
 10.76  1.00412  o
 10.77  1.00413  o
 10.78  1.00413  o
 10.79  1.00414  o
 10.8  1.00415  o
 10.81  1.00415  o
 10.82  1.00416  o
 10.83  1.00416  o
 10.84  1.00416  o
 10.85  1.00417  o
 10.86  1.00417  o
 10.87  1.00416  o
 10.88  1.00416  o
 10.89  1.00415  o
 10.9  1.00414  o
 10.91  1.00412  o
 10.92  1.0041  o
 10.93  1.00408  o
 10.94  1.00405  o
 10.95  1.00401  o
 10.96  1.00396  o
 10.97  1.00391  o
 10.98  1.00386  o
 10.99  1.00379  o
 11  1.00372  o
 11.01  1.00364  o
 11.02  1.00355  o
 11.03  1.00346  o
 11.04  1.00336  o
 11.05  1.00325  o
 11.06  1.00314  o
 11.07  1.00301  o
 11.08  1.00289  o
 11.09  1.00276  o
 11.1  1.00263  o
 11.11  1.00249  o
 11.12  1.00235  o
 11.13  1.00221  o
 11.14  1.00207  o
 11.15  1.00194  o
 11.16  1.0018  o
 11.17  1.00166  o
 11.18  1.00153  o
 11.19  1.0014  o
 11.2  1.00127  o
 11.21  1.00115  o
 11.22  1.00103  o
 11.23  1.00091  o
 11.24  1.0008  o
 11.25  1.0007  o
 11.26  1.0006  o
 11.27  1.0005  o
 11.28  1.00041  o
 11.29  1.00032  o
 11.3  1.00023  o
 11.31  1.00015  o
 11.32  1.00007  o
 11.33  0.999992  o
 11.34  0.999915  o
 11.35  0.999839  o
 11.36  0.999765  o
 11.37  0.99969  o
 11.38  0.999616  o
 11.39  0.999541  o
 11.4  0.999465  o
 11.41  0.999389  o
 11.42  0.999312  o
 11.43  0.999234  o
 11.44  0.999154  o
 11.45  0.999074  o
 11.46  0.998991  o
 11.47  0.998908  o
 11.48  0.998823  o
 11.49  0.998736  o
 11.5  0.998649  o
 11.51  0.99856  o
 11.52  0.99847  o
 11.53  0.998378  o
 11.54  0.998286  o
 11.55  0.998193  o
 11.56  0.998098  o
 11.57  0.998004  o
 11.58  0.997908  o
 11.59  0.997812  o
 11.6  0.997716  o
 11.61  0.997619  o
 11.62  0.997523  o
 11.63  0.997427  o
 11.64  0.997332  o
 11.65  0.997237  o
 11.66  0.997144  o
 11.67  0.997052  o
 11.68  0.996962  o
 11.69  0.996875  o
