#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
832.69; 165.32999; 108407.92451187
834.72; 164.45926; 108742.74936246
836.76; 163.18026; 109074.97027963
838.80; 161.64609; 109404.06777384
840.83; 160.06056; 109729.93726137
842.87; 158.62364; 110052.8813094
844.90; 157.48176; 110373.50058785
846.94; 156.69653; 110692.52120752
848.98; 156.23862; 111010.60955579
851.01; 156.00549; 111328.22327615
853.05; 155.85589; 111645.53242066
855.08; 155.65082; 111962.42406049
857.12; 155.29064; 112278.58240545
859.16; 154.7395; 112593.61867645
861.19; 154.03124; 112907.21299199
863.23; 153.25462; 113219.22617967
865.26; 152.52034; 113529.74443007
867.30; 151.91737; 113839.03507932
869.34; 151.47067; 114147.41628632
871.37; 151.11436; 114455.07208247
873.41; 150.6924; 114761.8688053
875.44; 149.992; 115067.23956336
877.48; 148.80463; 115370.19294297
879.51; 146.99885; 115669.46991404
881.55; 144.58202; 115963.82643708
883.59; 141.72838; 116252.37318317
885.62; 138.75916; 116534.8748486
887.66; 136.07529; 116811.91239555
889.69; 134.05908; 117084.84510283
891.73; 132.973; 117355.56666295
893.77; 132.88665; 117626.11241658
895.80; 133.65469; 117898.22182144
897.84; 134.95319; 118172.97487777
899.87; 136.36295; 118450.59806962
901.91; 137.47354; 118730.48234204
903.95; 137.97675; 119011.39110353
905.98; 137.72253; 119291.78227988
908.02; 136.72505; 119570.14268285
910.05; 135.12343; 119845.24232711
912.09; 133.11597; 120116.25495539
914.13; 130.89357; 120382.74297019
916.16; 128.59465; 120644.55057515
918.20; 126.29304; 120901.67230457
920.23; 124.01631; 121154.15880278
922.27; 121.78009; 121402.09255037
924.30; 119.61919; 121645.62689593
926.34; 117.59937; 121885.04906117
928.38; 115.80354; 122120.81507739
930.41; 114.29835; 122353.51665991
932.45; 113.09652; 122583.77142184
934.48; 112.13336; 122812.06525966
936.52; 111.27095; 123038.60331125
938.56; 110.3328; 123263.23137802
940.59; 109.1589; 123485.46947254
942.63; 107.66188; 123704.65977715
944.66; 105.8628; 123920.18731015
946.70; 103.89085; 124131.70010685
948.74; 101.94428; 124339.24986759
950.77; 100.2242; 124543.29769762
952.81; 98.863618; 124744.57549071
954.84; 97.877448; 124943.84552841
956.88; 97.152544; 125141.63972397
958.92; 96.482862; 125338.07050359
960.95; 95.63864; 125532.78252078
962.99; 94.445567; 125725.06554454
965.02; 92.84565; 125914.09127544
967.06; 90.917571; 126099.19160399
969.09; 88.848701; 126280.07989051
971.13; 86.868444; 126456.93654461
973.17; 85.166734; 126630.32866548
975.20; 83.826981; 126800.99316365
977.24; 82.797538; 126969.56180525
979.27; 81.911793; 127136.32714561
981.31; 80.949378; 127301.13309228
983.35; 79.716389; 127463.4287812
985.38; 78.116016; 127622.4662471
987.42; 76.184872; 127777.57207222
989.45; 74.082869; 127928.39840013
991.49; 72.040815; 128075.06728295
993.53; 70.284304; 128218.16005997
995.56; 68.959746; 128358.55615062
997.60; 68.086678; 128497.17475145
999.63; 67.5508; 128634.70235097
1001.67; 67.138426; 128771.3903928
1003.71; 66.600081; 128906.98240914
1005.74; 65.722859; 129040.78847775
1007.78; 64.390057; 129171.88107733
1009.81; 62.611949; 129299.35360244
1011.85; 60.521087; 129422.56931148
1013.89; 58.33579; 129541.33594431
1015.92; 56.30357; 129655.96515276
1017.96; 54.640227; 129767.20793953
1019.99; 53.479884; 129876.08836812
1022.03; 52.847067; 129983.68043477
1024.06; 52.655695; 130090.88288556
1026.10; 52.733198; 130198.24312525
1028.14; 52.862415; 130305.86643953
1030.17; 52.830557; 130413.42489395
1032.21; 52.473732; 130520.25688391
1034.24; 51.707428; 130625.52874392
1036.28; 50.537298; 130728.41832099
1038.32; 49.049652; 130828.27918016
1040.35; 47.385882; 130924.75274535
1042.39; 45.708473; 131017.81125082
1044.42; 44.167372; 131107.73220741
1046.46; 42.874095; 131195.02016458
1048.50; 41.887801; 131280.30011161
1050.53; 41.213663; 131364.20757333
1052.57; 40.810727; 131447.2946908
1054.60; 40.604853; 131529.96266703
1056.64; 40.502723; 131612.42271617
1058.68; 40.4045; 131694.68279176
1060.71; 40.214722; 131776.55649538
1062.75; 39.852232; 131857.69219978
1064.78; 39.259898; 131937.62196374
1066.82; 38.413735; 132015.82901279
1068.85; 37.329537; 132091.82872751
1070.89; 36.064295; 132165.25251958
1072.93; 34.710145; 132235.91937855
1074.96; 33.380408; 132303.87900849
1077.00; 32.189863; 132369.41479135
1079.03; 31.23356; 132433.00362376
1081.07; 30.569412; 132495.24030826
1083.11; 30.208917; 132556.74305581
1085.14; 30.118025; 132618.06075638
1087.18; 30.227222; 132679.60077102
1089.21; 30.447422; 132741.58909449
1091.25; 30.68718; 132804.06554407
1093.29; 30.867138; 132866.90837297
1095.32; 30.929325; 132929.87780871
1097.36; 30.840911; 132992.66724184
1099.39; 30.593608; 133054.95318753
1101.43; 30.200471; 133116.43873989
1103.47; 29.691515; 133176.88810157
1105.50; 29.108701; 133236.15090545
