#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
985.38; 19.484598; 124986.146708
987.42; 19.472043; 125025.79010632
989.45; 19.438324; 125065.36485654
991.49; 19.376964; 125104.81468383
993.53; 19.288483; 125144.08437028
995.56; 19.180181; 125183.13356291
997.60; 19.064367; 125221.94696909
999.63; 18.955468; 125260.53866514
1001.67; 18.866689; 125298.949616
1003.71; 18.806987; 125337.23901871
1005.74; 18.778993; 125375.47142824
1007.78; 18.778361; 125413.70255039
1009.81; 18.794692; 125451.96692134
1011.85; 18.813879; 125490.27035558
1013.89; 18.821375; 125528.58905037
1015.92; 18.80565; 125566.8757312
1017.96; 18.760992; 125605.07149276
1019.99; 18.688878; 125643.12043587
1022.03; 18.597463; 125680.98326483
1024.06; 18.499203; 125718.64604589
1026.10; 18.407172; 125756.1214593
1028.14; 18.331055; 125793.44190562
1030.17; 18.274017; 125830.64622804
1032.21; 18.231441; 125867.76386916
1034.24; 18.192043; 125904.801299
1036.28; 18.141149; 125941.73511249
1038.32; 18.065215; 125978.51433056
1040.35; 17.956232; 126015.07166979
1042.39; 17.814636; 126051.34073185
1044.42; 17.649765; 126087.27413104
1046.46; 17.477684; 126122.85718753
1048.50; 17.317008; 126158.11312044
1050.53; 17.183996; 126193.09825284
1052.57; 17.088384; 126227.88872752
1054.60; 17.031126; 126262.56263025
1056.64; 17.004565; 126297.18245705
1058.68; 16.994739; 126331.78227983
1060.71; 16.984908; 126366.36208573
1062.75; 16.959109; 126400.88936789
1064.78; 16.90478; 126435.30604148
1066.82; 16.813973; 126469.53783886
1068.85; 16.683348; 126503.5036954
1070.89; 16.51358; 126537.1239189
1072.93; 16.308884; 126570.32739862
1074.96; 16.077091; 126603.05896887
1077.00; 15.830162; 126635.28781302
1079.03; 15.584513; 126667.0165356
1081.07; 15.360326; 126698.28883334
1083.11; 15.179238; 126729.19245204
1085.14; 15.060399; 126759.85412453
1087.18; 15.015694; 126790.42478094
1089.21; 15.045527; 126821.05617644
1091.25; 15.136734; 126851.87326017
1093.29; 15.263735; 126882.94890725
1095.32; 15.393151; 126914.28803513
1097.36; 15.490927; 126945.82622516
1099.39; 15.530111; 126977.44418985
1101.43; 15.497082; 127008.99491185
1103.47; 15.394368; 127040.33651665
1105.50; 15.239203; 127071.36221961
1107.54; 15.058307; 127102.01963267
1109.57; 14.880496; 127132.31503748
1111.61; 14.729398; 127162.30282151
1113.64; 14.618387; 127192.06459664
1115.68; 14.549028; 127221.68516133
1117.72; 14.513128; 127251.23263682
1119.75; 14.497304; 127280.74789671
1121.79; 14.488254; 127310.24473207
1123.82; 14.476887; 127339.7184249
