#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1482.15; 157.10046; 107350.617566
1484.18; 154.62413; 107665.41894327
1486.22; 147.18835; 107965.08172532
1488.25; 136.44438; 108242.87071272
1490.29; 124.74559; 108496.84197273
1492.32; 114.5425; 108730.04062741
1494.36; 107.75321; 108949.41685994
1496.40; 105.28628; 109163.77064555
1498.43; 106.84818; 109381.304313
1500.47; 111.08501; 109607.46380177
1502.50; 116.01414; 109843.65857815
1504.54; 119.62026; 110087.19510085
1506.58; 120.44597; 110332.41270574
1508.61; 118.01; 110572.67087902
1510.65; 112.93543; 110802.59767303
1512.68; 106.75288; 111019.93732925
1514.72; 101.43588; 111226.45202802
1516.76; 98.80318; 111427.60677554
1518.79; 99.962251; 111631.12129123
1520.83; 104.95796; 111844.80662997
1522.86; 112.7316; 112074.31843503
1524.90; 121.40417; 112321.48684913
1526.94; 128.80026; 112583.71306824
1528.97; 133.05563; 112854.60285028
1531.01; 133.12547; 113125.63481395
1533.04; 129.04149; 113388.35215878
1535.08; 121.84529; 113636.41864345
1537.11; 113.22765; 113866.9403618
1539.15; 104.99593; 114080.70300592
1541.19; 98.542311; 114281.32664646
1543.22; 94.47961; 114473.6789787
1545.26; 92.549603; 114662.10198376
1547.29; 91.814941; 114849.02927983
1549.33; 91.051703; 115034.40268886
1551.37; 89.198382; 115216.00289591
1553.40; 85.707974; 115390.49693389
1555.44; 80.693556; 115554.78205056
1557.47; 74.836025; 115707.14173973
1559.51; 69.106102; 115847.83580006
1561.55; 64.411835; 115978.97273678
1563.58; 61.298869; 116103.7719443
1565.62; 59.801659; 116225.52296061
1567.65; 59.483506; 116346.62624433
1569.69; 59.635561; 116468.03910009
1571.73; 59.553534; 116589.28495617
1573.76; 58.791612; 116708.97960524
1575.80; 57.309052; 116825.65588886
1577.83; 55.466986; 116938.5818854
1579.87; 53.884858; 117048.28680615
1581.90; 53.210195; 117156.61817168
1583.94; 53.879625; 117266.31243891
1585.98; 55.948159; 117380.21806109
1588.01; 59.040543; 117500.41951187
1590.05; 62.441156; 117627.54431657
1592.08; 65.298106; 117760.48562495
1594.12; 66.883544; 117896.65474887
1596.16; 66.833924; 118032.72285078
1598.19; 65.2961; 118165.66007587
1600.23; 62.928116; 118293.77628953
1602.26; 60.742747; 118417.44327973
1604.30; 59.827865; 118539.24765016
1606.34; 61.017807; 118663.47463851
1608.37; 64.611303; 118795.01767541
1610.41; 70.225528; 118937.99078869
1612.44; 76.841307; 119094.4330589
1614.48; 83.03998; 119263.49529084
1616.52; 87.373604; 119441.38040776
1618.55; 88.766107; 119622.10054161
1620.59; 86.828551; 119798.87597687
1622.62; 81.993011; 119965.80667156
1624.66; 75.420797; 120119.35690476
1626.70; 68.706062; 120259.23651775
1628.73; 63.455178; 120388.42578461
1630.77; 60.857499; 120512.32640081
1632.80; 61.364908; 120637.26005846
1634.84; 64.566794; 120768.71247829
1636.87; 69.294301; 120909.78969441
1638.91; 73.9283; 121060.30133285
1640.95; 76.834694; 121216.73013899
1642.98; 76.819652; 121373.12832065
1645.02; 73.491425; 121522.75051958
1647.05; 67.434598; 121660.04154115
1649.09; 60.142919; 121782.4873337
1651.13; 53.711307; 121891.83891931
1653.16; 50.346608; 121994.34026847
1655.20; 51.808041; 122099.81696915
1657.23; 58.918429; 122219.76980473
1659.27; 71.284276; 122364.89843766
1661.31; 87.320716; 122542.67587865
1663.34; 104.60114; 122755.63476598
1665.38; 120.45831; 123000.8774805
1667.41; 132.68099; 123271.00452269
1669.45; 140.1063; 123556.24885522
1671.49; 142.9234; 123847.22856601
1673.52; 142.581; 124137.51118211
1675.56; 141.30969; 124425.20551431
1677.59; 141.39396; 124713.07141578
1679.63; 144.41542; 125007.0887382
1681.66; 150.7058; 125313.91274891
1683.70; 159.18696; 125638.00365193
1685.74; 167.65227; 125979.32921078
1687.77; 173.40222; 126332.36116696
1689.81; 174.03273; 126686.67678931
1691.84; 168.12976; 127028.9744687
1693.88; 155.66008; 127345.88494782
1695.92; 137.95323; 127626.74581731
1697.95; 117.304; 127865.56663113
1699.99; 96.341479; 128061.70956724
1702.02; 77.371678; 128219.23162632
1704.06; 61.888504; 128345.23128006
1706.10; 50.374164; 128447.78873132
1708.13; 42.40502; 128534.12169255
1710.17; 36.982237; 128609.41433635
1712.20; 32.949631; 128676.49694172
1714.24; 29.357791; 128736.2668709
1716.28; 25.676829; 128788.54267933
1718.31; 21.827471; 128832.98152605
1720.35; 18.064394; 128869.75907328
1722.38; 14.785267; 128899.86060141
1724.42; 12.345272; 128924.99450957
1726.45; 10.935112; 128947.25745421
1728.49; 10.544724; 128968.72560155
1730.53; 11.001044; 128991.12277856
1732.56; 12.047571; 129015.65059268
1734.60; 13.429407; 129042.99170537
1736.63; 14.956445; 129073.44173604
1738.67; 16.531873; 129107.09920297
1740.71; 18.146527; 129144.04396526
1742.74; 19.847967; 129184.45271234
1744.78; 21.696387; 129228.62468318
1746.81; 23.719439; 129276.9154146
1748.85; 25.876794; 129329.59833376
1750.89; 28.043356; 129386.69218695
1752.92; 30.016955; 129447.80411764
1754.96; 31.551135; 129512.03950525
1756.99; 32.406768; 129578.01688742
1759.03; 32.409466; 129643.99976247
1761.07; 31.49607; 129708.12304262
1763.10; 29.735234; 129768.66141298
1765.14; 27.31455; 129824.27147861
1767.17; 24.497522; 129874.14631842
1769.21; 21.563865; 129918.04848725
1771.24; 18.751912; 129956.22576184
1773.28; 16.220165; 129989.24861795
1775.32; 14.037009; 130017.82675729
1777.35; 12.196732; 130042.65825181
1779.39; 10.650941; 130064.34264939
1781.42; 9.3407569; 130083.35962427
1783.46; 8.2178732; 130100.09050478
1785.50; 7.2498348; 130114.85054279
1787.53; 6.4129704; 130127.90679711
1789.57; 5.6816028; 130139.47405001
1791.60; 5.0223677; 130149.69915724
1793.64; 4.3981975; 130158.65350779
1795.68; 3.7803183; 130166.34990958
1797.71; 3.1617319; 130172.78692291
